公共牌1,公共牌2,公共牌3,公共牌4,公共牌5,筹码池,AI手牌1,AI手牌2,对手手牌1,对手手牌2,AI对局结果
AS,JC,9S,8S,KS,342,TH,5H,5C,3H,1
AC,6H,9S,5D,5S,344,QD,QS,2H,KH,1
AC,KD,TS,7S,6C,351,5C,QD,TC,QH,0
9D,6S,TD,5H,JC,328,3C,6H,2C,QD,1
3H,TD,3S,2S,JD,395,8D,6H,3C,TH,0
TC,7D,2C,3S,KH,334,3H,4H,5D,JC,1
3H,3C,KC,KD,6D,39,9C,6C,5C,AC,1
6H,TC,TH,9C,JS,424,7S,3S,KC,8C,0
7S,8S,4S,AS,9H,154,9D,AH,8H,JD,1
TC,6D,2D,AD,5D,133,4S,KH,JD,TD,0
2S,AC,7H,4C,8H,323,2D,3C,6S,TS,1
KS,9D,JH,2C,4C,343,8S,6H,TS,2H,0
6S,7D,5D,8H,JD,435,7S,3H,4C,TH,0
KD,KC,2H,4C,AD,459,2C,7C,TS,7H,1
4C,7H,KC,2D,3H,92,3C,AH,AS,3S,0
9C,6H,7C,JS,3S,160,4S,KS,8H,QS,1
AD,9S,KC,8C,JC,159,5S,QH,AC,3S,0
8C,8D,TH,9S,9C,45,3C,JS,AH,KS,0
7D,4S,QC,2H,TS,148,4C,AD,7S,KD,0
7S,TH,7D,3D,QD,79,8H,AH,6C,4D,1
7C,3C,AD,8C,AC,310,2S,8S,KC,5H,0
4D,7C,QD,TC,2D,322,6H,2H,8S,9C,1
8D,3C,6D,JS,6S,384,3D,5C,JH,JC,0
8S,KS,2H,4S,JC,30,2S,TH,AH,3S,1
2C,KD,2D,5H,5S,204,3D,QD,7C,4D,0
9H,8S,AS,KH,2C,207,QD,7D,9D,6S,0
QC,4D,KC,JS,6C,415,3C,9D,5S,QH,0
3S,2D,4C,9D,JD,214,6H,AS,6S,5H,0
6H,4D,JS,5S,8S,305,4C,8D,TS,KC,1
JC,AH,4H,9H,9C,221,QC,6H,9S,JD,0
QC,JS,6S,3D,6D,355,2S,2H,AH,8H,1
QH,9C,4C,AH,3D,83,2C,7C,5C,8D,0
3S,9C,JC,KS,TC,142,7S,JS,JD,TS,0
TD,7S,AS,KD,2H,424,9C,KC,TS,6C,1
2D,3C,4H,TC,9C,288,2H,5H,9H,KD,0
JH,8H,6H,TD,TH,165,4H,5D,5C,3D,1
3C,9H,AH,TH,KH,407,8C,TS,5C,QC,1
4H,5S,KS,9D,KD,293,9S,QS,2C,3D,1
TD,9H,9S,JS,2D,331,AS,AH,6H,KC,1
QC,8S,TC,AH,2S,125,8H,KS,7S,3H,1
5S,2C,4D,JH,3S,247,2H,7S,AC,3H,0
2S,6H,QC,TS,9H,478,7H,8C,6S,8D,1
AS,KD,9C,7C,3H,254,JC,9H,8H,TH,1
KH,TC,2C,JD,AC,44,7D,5S,QS,4C,0
KH,3S,2S,3D,6C,337,5S,6D,JD,JC,0
QS,4C,9D,3H,8D,405,6S,KS,8C,QH,0
2H,2D,KD,7S,JH,207,4S,6H,QS,AC,0
4S,TS,KS,JC,9H,407,KH,7H,6H,8D,1
5D,KS,8D,JS,2D,81,2S,TH,3H,6S,1
2H,KD,2D,4S,AD,43,7D,JD,3C,9S,1
2H,TS,JC,3D,6D,328,QC,6C,9H,2D,1
3D,8D,8S,AD,KS,383,KD,4S,5D,2S,1
