公共牌1,公共牌2,公共牌3,公共牌4,公共牌5,筹码池,AI手牌1,AI手牌2,对手手牌1,对手手牌2,AI对局结果
8C,AC,QD,TH,8D,281,7H,5S,2S,TC,0
9C,5C,QD,3S,2H,277,JC,4D,8C,AS,0
7D,2S,4S,8S,7C,461,JD,8D,3H,2H,1
AS,JH,3C,KH,4H,195,9C,6D,9H,9S,0
2S,QC,TS,QH,KS,428,6D,6H,JC,4H,1
AC,TC,JC,2H,5H,163,8S,AS,7C,TD,1
AH,QD,TC,AD,JH,326,6C,KH,7H,3D,1
7C,AC,AS,JC,7D,99,6C,5H,QS,3S,0
7C,JC,AS,6S,7D,344,3S,QS,9H,2C,1
AD,6S,JC,3D,KH,469,8D,6D,6H,5S,0
2H,KD,4C,TS,7C,256,AC,3C,TH,3S,0
QC,QH,AD,4C,2C,135,KS,5S,AH,5C,0
5D,7S,QC,7D,KD,468,QH,AS,9D,9H,1
5S,AS,TD,QC,KD,180,9S,6S,8S,2H,1
KS,JS,JH,8C,4H,155,AD,3H,KD,2C,0
JC,6C,AC,KH,JH,32,KS,8D,5D,AH,0
JC,QH,7H,QC,6S,374,6H,8H,9D,8D,1
9H,TH,AH,4C,TD,467,8C,JH,5D,9C,0
TH,7D,JS,3S,6C,333,5S,7H,AS,JD,0
9D,QS,QH,TH,8C,298,3H,7S,4C,AS,0
8C,QS,3H,7D,2C,113,5C,QH,9C,9H,1
QC,2H,TC,JH,7S,349,9S,4S,3C,TD,0
AC,4H,9C,AD,QS,306,7S,7D,JS,KH,1
8D,2H,AC,KD,QC,128,AD,KH,TH,3S,1
4C,7S,KD,2D,4D,291,8D,7H,TC,AD,1
AD,AC,JD,6D,7S,168,3H,9D,JS,2D,0
2C,QS,4H,AD,7C,60,2S,6D,2H,3H,0
2H,TS,KS,6D,5S,391,3S,QC,6S,6C,0
9D,JC,4C,AH,8S,500,JH,3H,7C,TH,0
8H,7C,KS,7D,TS,452,6D,QS,5S,QC,0
4S,QC,AS,QS,9S,446,4C,6H,TD,7C,1
4C,AD,6S,4S,2S,123,5S,3C,TH,9C,1
4C,3C,9C,3S,KH,326,9D,TC,AC,QC,0
4H,QS,TS,4C,QD,71,AC,7H,3D,8H,1
KD,2H,QD,5S,6D,134,QC,QH,QS,3H,1
TH,2C,TD,4D,8H,478,4H,AC,6D,9S,1
AH,TD,4C,3D,4D,422,3H,JH,6H,JD,1
QH,2H,5H,9C,KD,174,9H,AC,7C,3H,1
2H,QD,5D,9H,7S,67,8S,6D,8D,KC,1
8H,2H,AH,KD,5D,118,7S,QD,KH,6S,0
3C,5C,9D,2H,JD,129,7S,4H,JS,5D,0
2S,QH,9S,4H,KD,42,QD,5C,4D,5D,1
7D,AS,8S,2D,2S,249,TD,QH,5H,8H,0
AH,7S,TH,QH,8D,242,4D,9H,5S,4H,1
3S,AD,5S,KH,5D,72,9S,KD,7C,9H,1
3H,KS,4H,9C,2S,274,TC,8C,AH,JD,0
8H,AC,6H,2S,3H,230,7C,9C,QD,AH,0
AH,7C,6D,TS,KC,470,5C,QS,3D,8S,1
KS,8D,5H,2S,TC,441,QH,6C,7C,2C,0
8D,QS,7S,AC,5S,212,8C,7D,6C,7H,1
4C,TH,8S,6D,9D,478,7H,JH,JD,AH,1
AS,AD,2D,TD,8D,358,AH,9D,2H,5C,1
2S,6S,TC,8H,JH,21,3S,2H,9D,9H,0
4D,7D,TS,KS,QH,398,9S,AH,KH,JC,0
AC,2D,5C,TS,JC,322,TH,QS,3C,7H,1
QC,3D,9C,AH,4H,109,TS,3H,KS,6S,1
8S,JD,AH,5S,9D,495,8H,TH,4S,KC,1
TC,6D,8H,AH,QD,138,AD,4C,JD,7H,1
8S,QS,KC,7S,4H,409,JC,9C,TH,6S,1
5D,2D,TS,2C,QC,473,9H,JH,6H,TC,0
3D,7H,4H,7D,9S,345,TD,KC,AC,2D,0
3C,2C,2S,5D,AH,405,6D,TS,6C,QC,0
9D,JC,JS,QS,6H,205,8D,5S,TC,3C,0
8C,TH,AD,JC,3D,73,5S,3C,KS,9C,1
QH,2H,4D,5H,9D,242,7S,8S,4C,JH,0
QD,2D,TD,7C,KC,155,AD,TC,2S,TS,0
4H,8D,8S,5C,QS,194,QC,6H,JH,3D,1
2C,4C,5C,KC,8D,201,QD,TD,KS,TS,0
TS,5D,7C,QD,2C,194,JC,9S,4S,8H,1
3H,3D,2D,9D,AC,466,TD,KS,AH,8D,0
QD,KD,9D,2H,TC,333,5H,JS,AD,7H,1
6H,8H,6D,3C,4H,304,TS,7C,3S,4D,0
4D,6C,AS,AH,7D,82,TC,8S,3C,JD,0
4D,QC,3C,6S,AS,154,5C,JH,TS,KC,0
5C,TS,3H,QD,8S,305,7H,QS,KC,TH,1
KS,AD,JH,JC,KH,281,8D,2D,6H,3S,0
8C,7C,KC,6H,2S,43,4D,9D,7H,KH,0
JH,7H,5C,AC,8H,345,3C,TH,2H,4C,1
5S,QC,4D,TC,7D,68,7H,QS,8C,8D,1
5D,QS,4S,QD,5C,341,3H,6S,8H,2H,0
AH,2C,TH,3D,TD,167,8H,9C,5D,2S,0
AD,2H,9H,TC,2S,318,6D,3C,4S,3D,0
QH,KC,JD,JS,8H,497,TD,8D,6S,3C,1
2S,4H,AC,3S,JD,268,6D,8S,5H,8H,0
TC,3C,6H,TS,AC,485,TH,7D,8H,9H,1
TS,6H,8H,6S,8D,133,6D,JC,2S,7S,1
7S,6D,3D,9H,9S,423,QH,AS,TH,5C,1
2H,4D,5S,9S,3S,423,3H,JD,QS,6S,0
KS,JH,4C,QS,5D,235,9C,6C,TS,JS,0
3D,9D,3C,AH,4S,76,QH,5H,KS,7C,0
9C,7H,4C,3S,KH,60,8H,2S,TH,4D,0
3D,9H,8H,6D,KD,88,AS,5C,4H,7C,1
QH,2C,9C,QS,7H,496,AD,QD,JD,7D,1
AD,2S,7D,QC,QS,343,9S,6H,KS,8S,0
7C,2D,9H,TD,8H,32,9S,KS,8D,4H,1
6C,AH,AC,2D,9S,235,TS,5S,9C,QH,0
4D,9D,TC,9S,5S,447,6H,2S,4C,5C,0
5C,6S,5S,KD,2H,31,TS,6C,2S,7H,1
3D,7S,4D,6D,5D,384,5C,4S,9S,6H,0
7H,5C,AH,TC,6S,326,6H,5S,7D,4D,1
AS,8H,9H,7C,5C,291,AD,4S,QC,4H,1
JS,QC,TC,JH,7C,354,4C,2S,2C,8D,0
TD,QC,9H,JH,6D,455,QD,5H,2D,3C,1
AH,AS,9C,6H,5C,421,8S,8H,2S,TC,1
4C,8D,5H,TH,JD,284,KD,6C,6D,9D,1
KS,TC,2S,QS,2D,180,4H,QC,KH,KC,0
TC,3C,7D,3H,4C,100,2D,4S,JH,AC,1
