using ai: Rational
牌局编号,AI胜率,AI决策,AI筹码变化,AI剩余筹码
1,0.00000,FOLD,-140,9860
2,13.33333,FOLD,-138,9722
3,78.98990,CALL,+461,10183
4,14.24242,FOLD,-97,10086
5,57.17172,CALL,+428,10514
6,80.30303,RAISE,+95,10609
7,84.14141,RAISE,+1318,11927
8,0.00000,FOLD,-49,11878
9,31.51515,CALL,+344,12222
10,52.02020,CALL,-469,11753
11,31.51515,CALL,-256,11497
12,39.59596,CALL,-135,11362
13,73.03030,CALL,+468,11830
14,22.22222,FOLD,-90,11740
15,42.42424,CALL,-155,11585
16,65.55556,CALL,-32,11553
17,57.37374,CALL,+374,11927
18,20.70707,FOLD,-233,11694
19,59.89899,CALL,-333,11361
20,0.00000,FOLD,-149,11212
21,84.14141,RAISE,+1393,12605
22,14.54545,FOLD,-174,12431
23,64.44444,CALL,+306,12737
24,96.86869,RAISE,+6445,19182
25,64.54545,CALL,+291,19473
26,13.53535,FOLD,-84,19389
27,40.80808,CALL,-60,19329
28,20.00000,FOLD,-195,19134
29,70.70707,CALL,-500,18634
30,28.68687,CALL,-452,18182
31,30.90909,CALL,+446,18628
32,92.62626,RAISE,+7056,25684
33,65.75758,CALL,-326,25358
34,56.16162,CALL,+71,25429
35,93.03030,RAISE,+9940,35369
36,73.23232,CALL,+478,35847
37,50.40404,CALL,+422,36269
38,65.55556,CALL,+174,36443
39,99.09091,RAISE,+20871,57314
40,31.21212,CALL,-118,57196
41,0.00000,FOLD,-64,57132
42,73.73737,CALL,+42,57174
43,34.94949,CALL,-249,56925
44,13.53535,FOLD,-121,56804
45,69.09091,CALL,+72,56876
46,10.50505,FOLD,-137,56739
47,4.44444,FOLD,-115,56624
48,29.89899,CALL,+470,57094
49,24.64646,FOLD,-220,56874
50,85.85859,RAISE,+9996,66870
51,97.87879,RAISE,+35866,102736
52,85.15152,RAISE,+15877,118613
53,39.19192,CALL,-21,118592
54,36.36364,CALL,-398,118194
55,62.82828,CALL,+322,118516
56,45.45455,CALL,+109,118625
57,54.84848,CALL,+495,119120
58,79.69697,CALL,+138,119258
59,23.63636,FOLD,-204,119054
60,22.22222,FOLD,-236,118818
61,34.74747,CALL,-345,118473
62,8.48485,FOLD,-202,118271
63,14.54545,FOLD,-102,118169
64,38.18182,CALL,+73,118242
65,4.44444,FOLD,-121,118121
66,64.94949,CALL,-155,117966
67,82.62626,RAISE,+9294,127260
